Level_1,Level_2,Level_3,Brand
Vehicles,Cars,,Toyota
Vehicles,Cars,,Honda
Vehicles,Cars,,Mercedes-Benz
Vehicles,Cars,,BMW
Vehicles,Cars,,Lexus
Vehicles,Cars,,Hyundai
Vehicles,Cars,,Kia
Vehicles,Cars,,Ford
Vehicles,Cars,,Volkswagen
Vehicles,Cars,,Nissan
Vehicles,Cars,,Peugeot
Vehicles,Cars,,Audi
Vehicles,Cars,,Land Rover
Vehicles,Cars,,Range Rover
Vehicles,Cars,,Porsche
Vehicles,Cars,,Jaguar
Vehicles,Cars,,Volvo
Vehicles,Cars,,Mazda
Vehicles,Cars,,Subaru
Vehicles,Cars,,Mitsubishi
Vehicles,Cars,,Jeep
Vehicles,Cars,,Chevrolet
Vehicles,Cars,,Acura
Vehicles,Cars,,Infiniti
Vehicles,Cars,,Cadillac
Vehicles,Cars,,Tesla
Vehicles,Cars,,Innoson
Vehicles,Cars,,GAC Motor
Vehicles,Cars,,Chery
Vehicles,Cars,,Geely
Vehicles,Cars,,Changan
Vehicles,Cars,,BAIC
Vehicles,Motorcycles & Scooters,,Honda
Vehicles,Motorcycles & Scooters,,Yamaha
Vehicles,Motorcycles & Scooters,,Suzuki
Vehicles,Motorcycles & Scooters,,Kawasaki
Vehicles,Motorcycles & Scooters,,TVS
Vehicles,Motorcycles & Scooters,,Bajaj
Vehicles,Motorcycles & Scooters,,Haojue
Vehicles,Motorcycles & Scooters,,Dayang
Vehicles,Motorcycles & Scooters,,Jincheng
Vehicles,Motorcycles & Scooters,,Qlink
Vehicles,Motorcycles & Scooters,,Luojia
Vehicles,Motorcycles & Scooters,,CFMoto
Vehicles,Motorcycles & Scooters,,KTM
Vehicles,Vehicle Parts & Accessories,,Bosch
Vehicles,Vehicle Parts & Accessories,,Michelin
Vehicles,Vehicle Parts & Accessories,,Bridgestone
Vehicles,Vehicle Parts & Accessories,,Dunlop
Vehicles,Vehicle Parts & Accessories,,Goodyear
Vehicles,Vehicle Parts & Accessories,,Continental
Vehicles,Vehicle Parts & Accessories,,Pirelli
Vehicles,Vehicle Parts & Accessories,,Denso
Vehicles,Vehicle Parts & Accessories,,NGK
Vehicles,Vehicle Parts & Accessories,,Exide
Vehicles,Vehicle Parts & Accessories,,Tokunbo (General)
Vehicles,Vehicle Parts & Accessories,,Mann-Filter
Vehicles,Vehicle Parts & Accessories,,Valeo
Mobile Phones & Tablets,Mobile Phones,,Samsung
Mobile Phones & Tablets,Mobile Phones,,Apple
Mobile Phones & Tablets,Mobile Phones,,Tecno
